TractFIPS,TractFIPS_2016_str,StateAbbr,StateDesc,CityName,Annual Checkup,Arthritis,Binge Drinking,COPD,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
47037010103,47037010103,TN,Tennessee,Nashville,76.7,30.6,13.2,7.7,8.3,85,2.9,67.8,39.8,41.4,8,8.3,19.4,68,10.4,10.1,35.7,38.9,79.9,11.6,26.7,86.5,12.8,22.1,31.6,3,82.9,14
47037010104,47037010104,TN,Tennessee,Nashville,76.2,31.4,12.7,8.6,8,84.2,3,64.9,37.1,38.8,8.4,8.7,22,63.3,11.3,12.2,36.1,38.7,78.9,12.8,28.4,84.8,14.2,25.2,33.1,3.3,82.9,16.8
47037010105,47037010105,TN,Tennessee,Nashville,82.2,32.9,9.5,8.1,6.9,83.1,3.7,66.6,29.5,33.4,8.4,10.3,21.1,55.5,17.6,15.6,48.6,38.4,83.2,13.2,37,86.5,15.3,28.9,40.7,4.8,86,20.7
47037010106,47037010106,TN,Tennessee,Nashville,78.7,28.7,10.6,8,5.7,78.2,3.2,60,31.7,32.1,7,10.8,25.3,50.5,14.1,19.3,43.1,34.6,80.5,15.2,37.6,85.4,15.8,30,42.6,4,81.7,23.3
47037010201,47037010201,TN,Tennessee,Nashville,78,28.2,12.1,7.2,6.8,81.4,2.9,65.7,36.4,38.7,7.1,9.2,20.6,60.8,11.9,14.3,38.3,35.9,80.4,12.5,31.2,86.4,13.2,25,36.7,3.3,82,16.9
47037010202,47037010202,TN,Tennessee,Nashville,76.2,33,12.4,9.4,8.3,84.2,3.2,64.3,36.7,38.9,9.1,9,22.9,62.1,12,12.8,37.7,40.1,78,13.4,29,83.9,15.3,26.2,33.3,3.5,83.7,17.7
47037010401,47037010401,TN,Tennessee,Nashville,73.6,28.1,12.1,9.2,6.2,75.8,2.9,58.1,34.3,33.1,7.8,10.2,26.6,49.7,12,23.7,35.1,34.9,75.6,16,32.7,81.6,16.7,31.3,38,3.6,79.5,25.2
47037010402,47037010402,TN,Tennessee,Nashville,71.2,28.9,10.9,11.6,5.1,71.9,3,48.1,29.5,27,8,11.7,34.2,37.7,14,32.2,36.4,35.1,72.1,20.4,39,75,21.4,38.4,41.9,4.2,78.1,34
47037010501,47037010501,TN,Tennessee,Nashville,73.2,31,12.2,10.3,7.1,78.4,3.2,58.3,35.1,33.9,8.4,10.1,26.7,54.6,11.5,17.7,37,38.2,75.3,15.9,31.3,80.9,17.1,28.8,35.3,3.6,81.5,22.1
47037010502,47037010502,TN,Tennessee,Nashville,74.1,25.9,13.9,7.1,5.9,79.2,2.6,62.5,35.9,36.9,6,9.2,23.1,60.7,10,14.4,33.1,34.6,79.5,13.5,30,85.2,13.2,24.3,35.9,2.7,79,17.2
