geo_level,est,county_fips,group_number,stpl_fips,date_export,metric_number,stcotr_fips,group_name,state_fips,denom,num,state_abbr,county_name,city_name,data_yr_type,lci,tract_code,uci,metric_name
tract,8.4,037,1,4752006,2022-03-02T00:00:00Z,2,47037010502,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,010502,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037010502,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,010502,-999.0,Air pollution - particulate matter
tract,8.4,037,1,4752006,2022-03-02T00:00:00Z,2,47037010601,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,010601,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037010601,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,010601,-999.0,Air pollution - particulate matter
tract,8.3,037,1,4752006,2022-03-02T00:00:00Z,2,47037010602,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,010602,-999.0,Air pollution - particulate matter
tract,8.8,037,1,4752006,2022-03-02T00:00:00Z,2,47037010602,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,010602,-999.0,Air pollution - particulate matter
tract,8.3,037,1,4752006,2022-03-02T00:00:00Z,2,47037010701,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,010701,-999.0,Air pollution - particulate matter
tract,8.8,037,1,4752006,2022-03-02T00:00:00Z,2,47037010701,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,010701,-999.0,Air pollution - particulate matter
tract,8.4,037,1,4752006,2022-03-02T00:00:00Z,2,47037010702,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,010702,-999.0,Air pollution - particulate matter
tract,8.9,037,1,4752006,2022-03-02T00:00:00Z,2,47037010702,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,010702,-999.0,Air pollution - particulate matter
tract,8.3,037,1,4752006,2022-03-02T00:00:00Z,2,47037010801,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,010801,-999.0,Air pollution - particulate matter
tract,8.8,037,1,4752006,2022-03-02T00:00:00Z,2,47037010801,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,010801,-999.0,Air pollution - particulate matter
tract,8.4,037,1,4752006,2022-03-02T00:00:00Z,2,47037010802,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,010802,-999.0,Air pollution - particulate matter
tract,8.8,037,1,4752006,2022-03-02T00:00:00Z,2,47037010802,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2017,-999.0,010802,-999.0,Air pollution - particulate matter
tract,8.3,037,1,4752006,2022-03-02T00:00:00Z,2,47037010901,total population,47,-999.0,-999.0,TN,Davidson County,Nashville,2018,-999.0,010901,-999.0,Air pollution - particulate matter
