TractFIPS,TractFIPS_2018_str,StateAbbr,StateDesc,CityName,Annual Checkup,Arthritis,Binge Drinking,COPD,Cancer (except skin),Cholesterol Screening,Chronic Kidney Disease,Colorectal Cancer Screening,Core preventive services for older men,Core preventive services for older women,Coronary Heart Disease,Current Asthma,Current Smoking,Dental Visit,Diabetes,Health Insurance,High Blood Pressure,High Cholesterol,Mammography,Mental Health,Obesity,Pap Smear Test,Physical Health,Physical Inactivity,Sleep <7 hours,Stroke,Taking BP Medication,Teeth Loss
47037010103,47037010103,TN,Tennessee,Nashville,70.6,32.6,16,8.9,8,83.5,2.9,68,34.3,38.5,7.8,9.8,21.7,68.3,10.8,11.1,37.8,42.4,77.5,12.6,29.6,83.2,14.3,25.2,36.2,3.3,81.4,13.2
47037010104,47037010104,TN,Tennessee,Nashville,70.4,32.9,15.6,9.3,7.8,82.6,3,66.3,32.2,37,8,10.1,23.1,65.7,11.4,12,37.8,42.1,77.8,13.3,30.6,82.8,15,27.1,37.1,3.6,81.4,14.9
47037010105,47037010105,TN,Tennessee,Nashville,78.4,32,12.4,7.6,6.7,82.4,3.4,69.9,26.3,33.7,7,11.2,19.8,63.3,15.9,13.5,47.6,40.8,83.5,11.9,37.5,86.2,13.9,28.3,43.1,4.3,84.6,15.1
47037010106,47037010106,TN,Tennessee,Nashville,74.2,29.8,12.7,8.8,5.6,75.4,3.5,60.6,25.6,29.3,6.8,12.1,26.2,53.1,14.4,18.2,44.3,38.7,81.7,15.4,40.3,86.3,16.3,33,45.9,4.4,79.9,22
47037010201,47037010201,TN,Tennessee,Nashville,73.2,28.4,15.3,7.1,6.6,80.5,2.8,68.4,32.6,38.1,6.3,10.2,19.6,66.7,11.2,12.7,38.8,38.7,80,12,32.6,85.4,12.7,24.8,39.7,3.2,80.5,12.9
47037010202,47037010202,TN,Tennessee,Nashville,70.9,32.7,16,8.9,8.1,83.3,2.9,68.4,33.8,39.4,7.8,9.8,21.4,68.7,11,11.1,38.2,42.8,77.4,12.5,29.4,82.8,14.2,25.2,36.2,3.3,81.7,12.9
47037010401,47037010401,TN,Tennessee,Nashville,68,30.1,14.2,10.6,6.1,71.7,3.5,58.9,27.1,30.2,8,11.8,28.3,50.7,12.6,23,37.1,39.6,76.7,17.1,35.6,82.7,18,34.8,42.1,4.3,77.1,25.1
47037010402,47037010402,TN,Tennessee,Nashville,66.6,31.1,12.6,12.8,5.1,65.6,4,50.4,21.9,24.8,8.4,12.8,35.1,39,15.1,27.8,40.4,41.6,77.7,20.9,42.1,82.5,21.9,42.1,45.7,5.2,76,34.2
47037010501,47037010501,TN,Tennessee,Nashville,68.3,31,16,9.5,7,77.7,3.1,64.2,31.2,34.6,7.3,10.7,24.8,62.1,10.7,14,36.6,40.8,77.5,14.8,31.7,83.5,15.5,27.7,38.4,3.5,78.8,16.7
47037010502,47037010502,TN,Tennessee,Nashville,68.1,27.3,16.7,7.9,5.7,78.5,2.7,63.5,30.6,34.9,5.8,10.5,24,62.7,10.3,13.9,33.5,37.1,79.2,14.2,32.5,84.2,14.1,26.5,39.9,3,77,15.3
47037010601,47037010601,TN,Tennessee,Nashville,70.1,27.1,16,7.6,6.2,76.7,2.7,64.6,31.8,35.5,6.2,10.5,22.6,62.6,10.3,17.1,35.9,37.8,78,13.5,31.9,84.1,13.6,27.6,40.1,3.1,78,16
47037010602,47037010602,TN,Tennessee,Nashville,70.3,28.8,14,9,5.7,73.3,3.3,60.3,26.9,30.2,6.9,11.5,26.1,54,12.8,20.1,39.7,39.1,79.8,15.7,37,84.7,16.3,32.6,43.1,4,78.4,21.7
47037010701,47037010701,TN,Tennessee,Nashville,66.8,29.4,14.1,10.7,5.1,70.5,3.5,54,24.8,27.4,7.4,11.8,30.9,47.6,13.1,22.4,37.8,39.6,78.6,18.2,38.7,83,18.9,36,43.6,4.3,76.2,26.5
47037010702,47037010702,TN,Tennessee,Nashville,70.7,37.6,11,14.7,7.5,71.4,5.1,53.3,23.2,24.4,11.7,12.4,30.3,42.1,18.1,26.3,46.1,45.7,77.1,18.7,39.9,82.4,23.1,42.9,43.3,6.9,81.7,32.9
47037010801,47037010801,TN,Tennessee,Nashville,71.1,27.9,15.2,8,6,75.6,2.9,64.2,30.9,34.7,6.3,11,23.3,60.5,11.1,16.4,37.5,38.1,79.4,14.3,34.1,84.5,14.3,28.5,41.6,3.3,78.4,16.5
47037010802,47037010802,TN,Tennessee,Nashville,74.4,36.8,12.3,10.2,9.3,82.9,4,65.6,30.5,32.7,9.9,10.3,20.2,62.3,14,14.6,43,42.9,78.3,12.6,31.5,84.2,16.3,30.8,37.5,5,84.1,17.6
47037010901,47037010901,TN,Tennessee,Nashville,72.4,28.4,15.9,7.3,6.8,79.1,2.8,67.8,33.1,38.4,6.5,10.2,20.2,66.7,10.7,13.1,38.5,39.2,79.4,12.3,31.4,84.8,12.8,24.9,39.2,3.2,80.1,13.6
47037010903,47037010903,TN,Tennessee,Nashville,72.7,27.9,12.2,9.4,4.1,68.8,3.6,54.7,21,25.2,6,13.6,31.1,43.8,15.4,23.7,44,37.3,83.3,18.6,45,85.5,18.4,38,49.8,4.7,77.2,28.9
47037010904,47037010904,TN,Tennessee,Nashville,76.8,32.3,10.4,10.3,5.4,73.5,4.2,58.6,21.4,26.8,7.6,13.9,27.8,46.7,18,21,46.9,39.6,82.9,17.3,43.9,85.1,18.8,38.1,48.2,5.7,81.4,27.6
